gene,human_disease_association
ARCN1,"Brain glioma, Sensorineural hearing loss, Celiac disease, Abdominal obesity-metabolic syndrome 1, Systemic lupus erythematosus"
AREL1,"Endogenous depression, Bipolar disorder, Gastroesophageal reflux disease"
ARF1,Idiopathic scoliosis
ARF3,"Osteoporosis, Bipolar disorder"
ARFGAP1,"Nicotine dependence, Chronic obstructive pulmonary disease"
ARFGAP2,"Hypertension, Attention deficit hyperactivity disorder, Abdominal obesity-metabolic syndrome 1, Endogenous depression, Acne"
ARFGEF2,"Colorectal adenoma, Endogenous depression, Colorectal cancer, Multiple myeloma"
ARFRP1,"Idiopathic pulmonary fibrosis, Inflammatory bowel disease, Marginal zone B-cell lymphoma, Colorectal adenoma, Brain glioma, Prostate carcinoma, Glioblastoma, Atopic dermatitis, Allergic rhinitis, Ulcerative colitis, Crohn's disease, Skin melanoma, Colorectal cancer"
ARHGAP1,"Autism spectrum disorder, Vascular disease, Osteoarthritis"
ARHGAP10,"Atrial fibrillation, Hypertension"
ARHGAP11A,"Colorectal adenoma, Hypospadias, Colorectal cancer"
ARHGAP15,"Tooth agenesis, Attention deficit hyperactivity disorder, Heart disease, Endogenous depression, Allergic rhinitis, Intestinal disease, Diverticulitis"
ARHGAP21,"Age related macular degeneration, Kuhnt-Junius degeneration"
ARHGAP25,Nicotine dependence
ARHGAP26,Atrial fibrillation
ARHGAP27,"Endogenous depression, Ovarian carcinoma, Allergic rhinitis, Systemic lupus erythematosus"
ARHGAP28,Cardiac arrest
ARHGAP29,Cleft lip
ARHGAP31,"Celiac disease, Hypertension, Primary biliary cholangitis, Systemic scleroderma, Autoimmune thyroiditis, Systemic lupus erythematosus"
ARHGAP32,"Atrial fibrillation, Intracranial aneurysm"
ARHGAP33,Nephrotic syndrome
ARHGAP35,"Attention deficit hyperactivity disorder, Abdominal obesity-metabolic syndrome 1"
ARHGAP4,"Celiac disease, Rheumatoid arthritis, Systemic lupus erythematosus"
ARHGAP42,"Hypertension, Heart disease, Myocardial infarction"
ARHGAP44,Atrial fibrillation
ARHGAP6,Prostate carcinoma
ARHGAP8,Eating disorder
ARHGAP9,Heart disease
ARHGDIB,Osteoarthritis
ARHGDIG,Osteoporosis
ARHGEF10L,Basal cell carcinoma
ARHGEF12,"open-angle glaucoma, Heart disease, Skin melanoma"
ARHGEF16,"Hypertension, Heart disease"
ARHGEF17,Dental caries
ARHGEF18,"Hypertension, Hypothyroidism"
ARHGEF19,non-alcoholic fatty liver disease
ARHGEF2,"Inflammatory bowel disease, Crohn's disease"
ARHGEF26,"Heart disease, Myocardial infarction"
ARHGEF28,"Sensorineural hearing loss, Hodgkin's lymphoma"
ARHGEF33,Celiac disease
ARHGEF37,Esophageal carcinoma
ARHGEF38,"Chronic obstructive pulmonary disease, Psoriasis"
ARHGEF5,"Prostate carcinoma, Breast carcinoma, Ovarian carcinoma"
ARID1A,Abdominal obesity-metabolic syndrome 1
ARID1B,Attention deficit hyperactivity disorder
ARID2,Attention deficit hyperactivity disorder
ARID3A,"Age related macular degeneration, Kuhnt-Junius degeneration, Primary biliary cholangitis"
ARID3B,Cleft lip
ARID3C,"Idiopathic scoliosis, Hypertension, Rheumatoid arthritis"
ARID4A,"Attention deficit hyperactivity disorder, Heart disease, Vascular disease"
ARID5B,"Attention deficit hyperactivity disorder, Vitiligo, Hypothyroidism, DOID:7061, Rheumatoid arthritis, Autoimmune thyroiditis, Systemic lupus erythematosus, Acute lymphoblastic leukemia"
ARL14,"Attention deficit hyperactivity disorder, Systemic scleroderma, Myositis, Rheumatoid arthritis, Systemic lupus erythematosus"
ARL14EP,Polycystic ovary syndrome
ARL15,non-alcoholic fatty liver disease
ARL16,Corneal disease
ARL17A,Androgenic alopecia
ARL17B,Androgenic alopecia
ARL2,"Abdominal obesity-metabolic syndrome 1, Acne"
ARL3,"Autism spectrum disorder, Prostate carcinoma, Endogenous depression, Bipolar disorder, Allergic rhinitis"
ARL5A,"Cardiovascular system disease, Dilated cardiomyopathy"
ARL6IP4,Allergic rhinitis
ARL6IP5,Celiac disease
ARL8A,"estrogen-receptor negative breast cancer, Breast carcinoma"
ARMC1,Attention deficit hyperactivity disorder
ARMC12,"Heart disease, Hypothyroidism"
ARMC2,"Prostate carcinoma, Hypothyroidism, Chronic obstructive pulmonary disease"
ARMC4,Hypertension
ARMC7,Systemic scleroderma
ARMC8,"Heart disease, Myocardial infarction"
ARMS2,"Hypertension, Age related macular degeneration, Kuhnt-Junius degeneration, Heart disease, Autoimmune thyroiditis"
ARNT,"Heart disease, Abdominal obesity-metabolic syndrome 1, Squamous cell carcinoma, Melanoma, Basal cell carcinoma, Skin melanoma"
ARNT2,Atrial fibrillation
ARNTL,"Heart disease, Abdominal obesity-metabolic syndrome 1, Acne"
ARNTL2,Brain glioma
ARPC2,"Inflammatory bowel disease, Colorectal adenoma, Gallbladder disease, Ulcerative colitis, Crohn's disease, Colorectal cancer"
ARPC3,Bipolar disorder
ARPC5,"Celiac disease, Systemic scleroderma, Myositis, Rheumatoid arthritis, Systemic lupus erythematosus"
ARPC5L,Intracranial aneurysm
ARPIN,Gallbladder disease
ARPP21,"Attention deficit hyperactivity disorder, Endogenous depression"
ARRB2,"Sinusitis, Nasal cavity disease, Allergic rhinitis, Systemic lupus erythematosus"
ARRDC2,Systemic scleroderma
ARRDC3,Breast carcinoma
ARRDC5,"Vitiligo, Hypothyroidism, Basal cell carcinoma"
ARSA,"Diffuse large B-cell lymphoma, Sensorineural hearing loss, Chronic lymphocytic leukemia"
ARSG,Heart disease
ARSI,Ulcerative colitis
ARSJ,Bronchitis
ARSK,Chronic obstructive pulmonary disease
ART4,Osteoarthritis
ARTN,Attention deficit hyperactivity disorder
ARVCF,open-angle glaucoma
AS3MT,"Autism spectrum disorder, Hypertension, Attention deficit hyperactivity disorder, Intracranial aneurysm, Heart disease, Endogenous depression, Bipolar disorder, Myocardial infarction, Anorexia nervosa, Colorectal cancer"
ASAH1,Atrial fibrillation
ASAH2,Attention deficit hyperactivity disorder
ASAH2B,"Colorectal adenoma, Colorectal cancer"
ASAP2,Chronic obstructive pulmonary disease
ASB1,Chronic obstructive pulmonary disease
ASB10,Multiple myeloma
ASB16,Bipolar disorder
ASCC1,Degenerative disc disease
ASCC2,Dental caries
ASCC3,"Attention deficit hyperactivity disorder, Endogenous depression, Bipolar disorder"
ASCL1,Hypothyroidism
ASCL2,"Prostate carcinoma, Chronic lymphocytic leukemia, Systemic scleroderma"
ASCL4,"Attention deficit hyperactivity disorder, Bipolar disorder"
ASCL5,"Tooth agenesis, Primary biliary cholangitis"
ASH1L,"Lewy body dementia, Stomach carcinoma, Crohn's disease"
ASH2L,Hypertension
ASIC1,"Hypertension, Colorectal cancer"
ASIC2,"Inflammatory bowel disease, Endogenous depression, Crohn's disease"
ASIC3,"Atrial fibrillation, Hypertension, Abdominal obesity-metabolic syndrome 1, Allergic rhinitis, Myocardial infarction, Cerebrovascular disease"
ASIC5,"Hypertension, Myocardial infarction"
ASIP,"estrogen-receptor negative breast cancer, Prostate carcinoma, Breast carcinoma, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Ovarian carcinoma, Endometrioid ovary carcinoma, Colorectal cancer"
ASNA1,Pulmonary emphysema
ASNS,Attention deficit hyperactivity disorder
ASPDH,Primary biliary cholangitis
ASPG,"Attention deficit hyperactivity disorder, Endogenous depression"
ASPHD1,"Autism spectrum disorder, Abdominal obesity-metabolic syndrome 1, Dental caries, Bipolar disorder"
ASPM,Age related macular degeneration
ASPRV1,Atrial fibrillation
ASPSCR1,Attention deficit hyperactivity disorder
ASS1,Barrett's esophagus
ASTN1,Endogenous depression
ASTN2,"Endogenous depression, Chronic obstructive pulmonary disease, Bipolar disorder, Liver disease, Osteoarthritis"
ASUN,Hodgkin's lymphoma
ASXL2,Atrial fibrillation
ASXL3,"Endogenous depression, Bipolar disorder"
ASZ1,"Heart disease, Esophagus adenocarcinoma, Plantar fascial fibromatosis"
ATAD2B,"Attention deficit hyperactivity disorder, Endogenous depression, Idiopathic generalized epilepsy"
ATAD5,"Cancer, Breast carcinoma"
ATAT1,"Swine influenza, Autism spectrum disorder, Prostate carcinoma, Graves' disease, Endogenous depression, Chronic obstructive pulmonary disease, Lung carcinoma, Lung squamous cell carcinoma, Cervical cancer, Psoriatic arthritis"
ATE1,Breast carcinoma
ATF1,"Androgenic alopecia, Colorectal adenoma, Colorectal cancer"
ATF3,Leprosy
ATF4,"Autism spectrum disorder, Gilles de la Tourette syndrome"
ATF6B,"Autism spectrum disorder, Prostate carcinoma, Age related macular degeneration, Kuhnt-Junius degeneration, Membranous glomerulonephritis, Sarcoidosis, Heart disease, Hepatitis B, Chronic obstructive pulmonary disease, Atopic dermatitis, Lung carcinoma, Lung squamous cell carcinoma, Systemic scleroderma, Cervical cancer, Ulcerative colitis, Neuromyelitis optica, Psoriatic arthritis, Systemic lupus erythematosus, Colorectal cancer"
ATF7IP,"Testicular cancer, Testicular germ cell cancer"
ATF7IP2,Kuhnt-Junius degeneration
ATG10,Breast carcinoma
ATG13,"Autism spectrum disorder, Vascular disease, Osteoarthritis"
ATG14,Testicular germ cell cancer
ATG16L1,"Inflammatory bowel disease, open-angle glaucoma, Atopic dermatitis, Allergic rhinitis, Nephrolithiasis, Rheumatoid arthritis, Ulcerative colitis, Crohn's disease"
ATG2A,Gout
ATG3,Atopic dermatitis
ATG4B,"Inflammatory bowel disease, Brain glioma, Asthma, Allergic rhinitis"
ATG4C,non-alcoholic fatty liver disease
ATG4D,Vascular disease
ATG5,"Inflammatory bowel disease, Primary biliary cholangitis, Systemic scleroderma, Myositis, Acne, Rheumatoid arthritis, Ulcerative colitis, Crohn's disease, Systemic lupus erythematosus, Multiple myeloma"
ATG7,"Endogenous depression, Chronic obstructive pulmonary disease"
ATHL1,"Intracranial aneurysm, Prostatic hypertrophy, Heart disease, Uterine fibroid, Endogenous depression, Autoimmune thyroiditis"
ATIC,"Heart disease, Endometriosis, Myocardial infarction"
ATL1,Plantar fascial fibromatosis
ATM,"Prostate carcinoma, Uterine fibroid, Melanoma, Renal cell carcinoma, Skin melanoma"
ATN1,Colorectal cancer
ATP10B,Allergic rhinitis
ATP11A,"Idiopathic pulmonary fibrosis, Heart disease, Basal cell carcinoma, Skin melanoma"
ATP11B,Prostate carcinoma
ATP12A,Ileus
ATP13A1,Alcoholic liver cirrhosis
ATP13A2,"Chronic obstructive pulmonary disease, Rheumatoid arthritis"
ATP13A4,"Dental caries, Hodgkin's lymphoma"
ATP13A5,Hodgkin's lymphoma
ATP1B1,"Heart disease, Vascular disease"
ATP1B2,"triple-receptor negative breast cancer, Brain glioma, Atrial fibrillation, Uterine fibroid, Abdominal obesity-metabolic syndrome 1, Melanoma, Basal cell carcinoma, IgA glomerulonephritis, Glioblastoma, Esophagus squamous cell carcinoma, Neuroblastoma, Skin melanoma"
ATP2A1,"Inflammatory bowel disease, Bipolar disorder"
ATP2A2,"Autism spectrum disorder, Bipolar disorder, Myocardial infarction, Anorexia nervosa"
ATP2B1,"Prostate carcinoma, Hypertension, Intracranial aneurysm, Heart disease, Myocardial infarction"
ATP2B2,Autism spectrum disorder
ATP2B4,"Malaria, Breast carcinoma"
ATP2C1,Restless legs syndrome
ATP2C2,Eosinophilic esophagitis
ATP5B,Atrial fibrillation
ATP5C1,Alzheimer's disease
ATP5D,Colorectal cancer
ATP5G1,Heart disease
ATP5J2,Attention deficit hyperactivity disorder
ATP5L,Abdominal obesity-metabolic syndrome 1
ATP5L2,Swine influenza
ATP5SL,"Prostate carcinoma, Heart disease, Myocardial infarction, Colorectal cancer"
ATP6AP1L,Breast carcinoma
ATP6V0A1,"Inflammatory bowel disease, Abdominal obesity-metabolic syndrome 1, Ulcerative colitis, Crohn's disease, Psoriasis"
ATP6V0A4,Sensorineural hearing loss
ATP6V0B,Attention deficit hyperactivity disorder
ATP6V1B1,Atopic dermatitis
ATP6V1F,"Atrial fibrillation, Primary biliary cholangitis, Sjogren's syndrome, Dilated cardiomyopathy, Systemic scleroderma, Myositis, Rheumatoid arthritis, Hodgkin's lymphoma, Ulcerative colitis, Systemic lupus erythematosus"
ATP6V1G2,"Stevens-Johnson syndrome, Autism spectrum disorder, Hypertension, Membranous glomerulonephritis, Carpal tunnel syndrome, Dengue hemorrhagic fever, Abdominal obesity-metabolic syndrome 1, Cancer, Laryngeal squamous cell carcinoma, Lung carcinoma, Lung squamous cell carcinoma, Liver disease, Cervical cancer, Myasthenia gravis, Allergic rhinitis, Human immunodeficiency virus infectious disease, Myositis, Acquired immunodeficiency syndrome, Autoimmune thyroiditis, Herpes zoster, Hodgkin's lymphoma, Ulcerative colitis, Crohn's disease, Psoriasis, Psoriatic arthritis"
ATP6V1G3,"Inflammatory bowel disease, Bipolar disorder, Crohn's disease, Systemic lupus erythematosus"
ATP8B1,Gallbladder disease
ATP8B2,"Atrial fibrillation, Attention deficit hyperactivity disorder, Myocardial infarction, Juvenile rheumatoid arthritis"
ATP8B3,Bipolar disorder
ATP9A,Allergic rhinitis
ATP9B,"Inflammatory bowel disease, Prostate carcinoma, Hypothyroidism, Rheumatoid arthritis, Chronic kidney disease, Crohn's disease"
ATPAF1,Chronic kidney disease
ATPAF2,"Autism spectrum disorder, Myocardial infarction"
ATXN1,"Atrial fibrillation, Systemic lupus erythematosus"
ATXN2,"Inflammatory bowel disease, Peripheral artery disease, Colorectal adenoma, Celiac disease, open-angle glaucoma, Hypertension, Age related macular degeneration, Kuhnt-Junius degeneration, Attention deficit hyperactivity disorder, Heart disease, Primary biliary cholangitis, Vitiligo, Endometrial cancer, Sclerosing cholangitis, Hypothyroidism, Endometrial carcinoma, Allergic rhinitis, Myocardial infarction, Cerebrovascular disease, Juvenile rheumatoid arthritis, Ankylosing spondylitis, Autoimmune thyroiditis, Gastroesophageal reflux disease, Psoriasis, Systemic lupus erythematosus, Colorectal cancer, Type 1 diabetes mellitus"
ATXN2L,"Inflammatory bowel disease, Bipolar disorder"
ATXN7,Breast carcinoma
ATXN7L3,Bipolar disorder
ATXN7L3B,Attention deficit hyperactivity disorder
AUH,"Inflammatory bowel disease, Ulcerative colitis"
AURKAIP1,"Inflammatory bowel disease, Ulcerative colitis"
AURKB,Endogenous depression
AURKC,Plantar fascial fibromatosis
AUTS2,"Lymphoma, Attention deficit hyperactivity disorder"
AVIL,Endogenous depression
AVPR2,"Celiac disease, Rheumatoid arthritis, Systemic lupus erythematosus"
AXDND1,Acne
AXIN1,"Osteoporosis, Hodgkin's lymphoma"
AXL,"Heart disease, Nasal cavity disease, Myocardial infarction, Osteoarthritis, Colorectal cancer"
AZGP1,"Idiopathic pulmonary fibrosis, Chronic obstructive pulmonary disease"
AZU1,Autoimmune disease
B3GALT4,"triple-receptor negative breast cancer, Endogenous depression, Cervical cancer"
B3GALT6,"Inflammatory bowel disease, Ulcerative colitis"
B3GALTL,"Hypertension, Age related macular degeneration, Kuhnt-Junius degeneration, Endogenous depression"
B3GAT1,Prostate carcinoma
B3GNT1,"Prostate carcinoma, Attention deficit hyperactivity disorder, Gout, Breast carcinoma, Ovarian carcinoma"
B3GNT2,"Ankylosing spondylitis, Rheumatoid arthritis, Crohn's disease, Psoriasis"
B3GNT3,"Heart disease, Myocardial infarction"
B3GNT4,"Allergic rhinitis, Osteoarthritis"
B3GNT8,"Prostate carcinoma, Heart disease, Myocardial infarction, Osteoarthritis, Colorectal cancer"
B3GNTL1,"Colorectal adenoma, Colorectal cancer"
B4GALNT2,"Prostate carcinoma, Alzheimer's disease, Attention deficit hyperactivity disorder, Heart disease, Myocardial infarction"
B4GALNT4,"Endogenous depression, Autoimmune thyroiditis"
B4GALT1,Swine influenza
B4GALT2,Attention deficit hyperactivity disorder
B4GALT3,Allergic rhinitis
B4GALT4,Hodgkin's lymphoma
B7RP1,"Inflammatory bowel disease, Celiac disease, Ankylosing spondylitis, Rheumatoid arthritis, Ulcerative colitis, Crohn's disease"
B9D2,"Heart disease, Myocardial infarction, Osteoarthritis, Colorectal cancer"
BABAM1,"estrogen-receptor negative breast cancer, triple-receptor negative breast cancer, Breast carcinoma, Ovarian carcinoma, Rheumatoid arthritis"
BACE2,"Melanoma, Skin melanoma"
BACH1,"Heart disease, Pancreatic carcinoma"
BACH2,"Inflammatory bowel disease, Celiac disease, Vitiligo, Sclerosing cholangitis, Hypothyroidism, Squamous cell carcinoma, Basal cell carcinoma, Asthma, Allergic rhinitis, Ankylosing spondylitis, Rheumatoid arthritis, Autoimmune thyroiditis, Crohn's disease, Skin melanoma, Systemic lupus erythematosus"
BAD,"Inflammatory bowel disease, Leprosy, Hypertension, Attention deficit hyperactivity disorder, Primary biliary cholangitis, Vitiligo, Sclerosing cholangitis, Basal cell carcinoma, Crohn's disease, Psoriasis, Alopecia areata"
BAG1,Swine influenza
BAG2,Heart disease
BAG3,"Heart disease, Dilated cardiomyopathy"
BAG4,"Hypertension, Gilles de la Tourette syndrome"
BAG5,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Endogenous depression, Bipolar disorder"
BAG6,"Cutaneous lupus erythematosus, Autism spectrum disorder, Hypertension, Membranous glomerulonephritis, Cancer, Laryngeal squamous cell carcinoma, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Myositis, Rheumatoid arthritis, Autoimmune thyroiditis, Crohn's disease, Psoriatic arthritis, Systemic lupus erythematosus"
BAHCC1,"Age related macular degeneration, Kuhnt-Junius degeneration, Dental caries, Arthropathy"
BAHD1,Idiopathic pulmonary fibrosis
BAI2,Attention deficit hyperactivity disorder
BAIAP2,"Attention deficit hyperactivity disorder, Endogenous depression"
BAIAP2L1,Breast carcinoma
BAIAP2L2,"Sensorineural hearing loss, Age related macular degeneration, Kuhnt-Junius degeneration, Melanoma, Glioblastoma, Skin benign neoplasm, Skin melanoma"
BAK1,"Autism spectrum disorder, Chronic lymphocytic leukemia, Attention deficit hyperactivity disorder, Graves' disease, Testicular cancer, Testicular germ cell cancer"
BANF1,Bipolar I disorder
BANK1,"Inflammatory bowel disease, Autism spectrum disorder, Chronic lymphocytic leukemia, Hypertension, Attention deficit hyperactivity disorder, Abdominal obesity-metabolic syndrome 1, Bipolar disorder, Gastroesophageal reflux disease, Anorexia nervosa, Crohn's disease, Systemic lupus erythematosus"
BARD1,Neuroblastoma
BARHL2,Attention deficit hyperactivity disorder
BARX1,"Hypertrophic pyloric stenosis, Esophagus adenocarcinoma, Barrett's esophagus"
BATF,"Marginal zone B-cell lymphoma, Basal cell carcinoma"
BATF2,"Abdominal obesity-metabolic syndrome 1, Acne"
BATF3,Leprosy
BAZ1A,"Atrial fibrillation, Primary biliary cholangitis, Lung non-small cell carcinoma, Lung adenocarcinoma"
